customer_id,customer_name,total_orders
EP-13915,"Emily Phan",17
CK-12205,"Chloris Kastensmidt",13
EA-14035,"Erin Ashbrook",13
JE-15745,"Joel Eaton",13
NS-18640,"Noel Staavos",13
PG-18820,"Patrick Gardner",13
SH-19975,"Sally Hughsby",13
ZC-21910,"Zuschuss Carroll",13
AH-10690,"Anna Häberlin",12
BD-11320,"Bill Donatelli",12
BP-11095,"Bart Pistole",12
CC-12220,"Chris Cortes",12
CL-12565,"Clay Ludtke",12
CS-12250,"Chris Selesnick",12
DK-12835,"Damala Kotsonis",12
EH-13765,"Edward Hooks",12
HG-14965,"Henry Goldwyn",12
KB-16585,"Ken Black",12
KD-16495,"Keith Dawkins",12
KL-16645,"Ken Lonsdale",12
LC-16885,"Lena Creighton",12
PK-19075,"Pete Kriz",12
RB-19465,"Rick Bensley",12
RP-19390,"Resi Pölking",12
SJ-20125,"Sanjit Jacobs",12
SM-20950,"Suzanne McNair",12
BF-11170,"Ben Ferrer",11
BM-11650,"Brian Moss",11
CK-12595,"Clytie Kelty",11
CS-11950,"Carlos Soltero",11
CS-12355,"Christine Sundaresam",11
Dp-13240,"Dean percer",11
GA-14725,"Guy Armstrong",11
GB-14530,"George Bell",11
GT-14710,"Greg Tran",11
JD-15895,"Jonathan Doherty",11
JF-15490,"Jeremy Farry",11
JG-15160,"James Galang",11
JL-15835,"John Lee",11
LA-16780,"Laura Armstrong",11
MA-17560,"Matt Abelman",11
MM-17920,"Michael Moore",11
MY-18295,"Muhammed Yedwab",11
PO-18850,"Patrick O'Brill",11
SC-20725,"Steven Cartwright",11
SE-20110,"Sanjit Engle",11
SZ-20035,"Sam Zeldin",11
WB-21850,"William Brown",11
XP-21865,"Xylona Preis",11
AB-10105,"Adrian Barton",10
AG-10900,"Arthur Gainer",10
AH-10075,"Adam Hart",10
AI-10855,"Arianne Irving",10
AP-10915,"Arthur Prichep",10
AT-10735,"Annie Thurman",10
BM-11785,"Bryan Mills",10
CB-12025,"Cassandra Brandow",10
CC-12430,"Chuck Clark",10
DB-13210,"Dean Braden",10
EB-13750,"Edward Becker",10
EB-13870,"Emily Burns",10
EH-14125,"Eugene Hildebrand",10
FH-14275,"Frank Hawley",10
FM-14215,"Filia McAdams",10
FO-14305,"Frank Olsen",10
GM-14500,"Gene McClure",10
HM-14860,"Harry Marie",10
JB-15400,"Jennifer Braxton",10
JE-15715,"Joe Elijah",10
JK-15730,"Joe Kamberova",10
JK-16120,"Julie Kriz",10
JM-16195,"Justin MacKendrick",10
KT-16480,"Kean Thornton",10
MB-17305,"Maria Bertelson",10
MC-18100,"Mick Crebagga",10
ME-17320,"Maria Etezadi",10
MS-17365,"Maribeth Schnelling",10
NM-18520,"Neoma Murray",10
PP-18955,"Paul Prost",10
PW-19030,"Pauline Webber",10
